NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GOBP_MELANOCYTE_DIFFERENTIATION	GOBP_MELANOCYTE_DIFFERENTIATION		27	0.30682594	1.0412412	0.38809034	0.49434784	1.0	1670	tags=19%, list=9%, signal=20%	
HALLMARK_COMPLEMENT	HALLMARK_COMPLEMENT		200	0.20524162	1.0172335	0.3824131	0.5489536	1.0	3512	tags=23%, list=20%, signal=28%	
HALLMARK_COAGULATION	HALLMARK_COAGULATION		140	0.2107508	1.0027193	0.42526317	0.5734304	1.0	2897	tags=21%, list=16%, signal=25%	
HALLMARK_GLYCOLYSIS	HALLMARK_GLYCOLYSIS		217	0.19299915	0.98351866	0.50884956	0.61049867	1.0	3433	tags=24%, list=19%, signal=29%	
HALLMARK_KRAS_SIGNALING_DN	HALLMARK_KRAS_SIGNALING_DN		156	0.19683819	0.96366507	0.55284554	0.64979446	1.0	4520	tags=31%, list=25%, signal=42%	
HALLMARK_MTORC1_SIGNALING	HALLMARK_MTORC1_SIGNALING		229	0.1873284	0.94649667	0.6286837	0.6814399	1.0	2651	tags=17%, list=15%, signal=20%	
HALLMARK_MYOGENESIS	HALLMARK_MYOGENESIS		227	0.18010849	0.91153634	0.70731705	0.7626306	1.0	4192	tags=27%, list=23%, signal=35%	
HALLMARK_INTERFERON_ALPHA_RESPONSE	HALLMARK_INTERFERON_ALPHA_RESPONSE		100	0.1981911	0.90376484	0.6528302	0.75917065	1.0	1555	tags=14%, list=9%, signal=15%	
HALLMARK_PROTEIN_SECRETION	HALLMARK_PROTEIN_SECRETION		100	0.20030506	0.893662	0.68441814	0.76358724	1.0	4307	tags=25%, list=24%, signal=33%	
HALLMARK_PANCREAS_BETA_CELLS	HALLMARK_PANCREAS_BETA_CELLS		20	0.28292736	0.8823894	0.62909836	0.76968277	1.0	3708	tags=40%, list=21%, signal=50%	
HALLMARK_WNT_BETA_CATENIN_SIGNALING	HALLMARK_WNT_BETA_CATENIN_SIGNALING		44	0.22341631	0.85131145	0.71976966	0.81961256	1.0	2822	tags=23%, list=16%, signal=27%	
